x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,yvliang
1.9,-0.25,-0.847,-3.646,1.082,-3.646,4.272,-0.77,-0.885,-3.833,4.217,-8.333,0
1.907,-0.252,-0.843,-3.634,1.088,-3.634,4.265,-0.792,-0.884,-3.832,4.209,-8.313,0
1.906,-0.254,-0.837,-3.637,1.088,-3.637,4.267,-0.833,-0.882,-3.829,4.223,-8.324,0
1.904,-0.251,-0.842,-3.653,1.087,-3.653,4.276,-0.838,-0.879,-3.834,4.229,-8.318,0
1.903,-0.242,-0.85,-3.643,1.089,-3.643,4.26,-0.829,-0.886,-3.836,4.218,-8.317,0
1.903,-0.249,-0.84,-3.646,1.083,-3.646,4.27,-0.748,-0.884,-3.828,4.222,-8.322,0
1.9,-0.252,-0.833,-3.646,1.084,-3.646,4.264,-0.763,-0.882,-3.842,4.22,-8.323,0.2
1.91,-0.258,-0.837,-3.648,1.079,-3.648,4.28,-0.715,-0.889,-3.844,4.222,-8.317,0.2
1.907,-0.26,-0.841,-3.643,1.087,-3.643,4.273,-0.697,-0.867,-3.846,4.217,-8.326,0.2
1.905,-0.26,-0.828,-3.646,1.083,-3.646,4.269,-0.662,-0.891,-3.829,4.219,-8.33,0.2
1.905,-0.264,-0.837,-3.641,1.077,-3.641,4.275,-0.656,-0.88,-3.835,4.211,-8.332,0.2
1.902,-0.255,-0.831,-3.643,1.094,-3.643,4.267,-0.702,-0.886,-3.829,4.218,-8.325,0.2
1.907,-0.266,-0.828,-3.656,1.085,-3.656,4.266,-0.735,-0.885,-3.83,4.221,-8.324,0.2
1.905,-0.258,-0.828,-3.65,1.094,-3.65,4.265,-0.711,-0.88,-3.838,4.209,-8.321,0.2
1.908,-0.262,-0.829,-3.658,1.093,-3.658,4.268,-0.732,-0.877,-3.827,4.199,-8.326,0.2
1.906,-0.265,-0.838,-3.654,1.092,-3.654,4.269,-0.754,-0.878,-3.831,4.205,-8.323,0.2
1.907,-0.266,-0.834,-3.653,1.089,-3.653,4.262,-0.747,-0.881,-3.84,4.206,-8.325,0.2
1.912,-0.259,-0.848,-3.648,1.093,-3.648,4.27,-0.762,-0.887,-3.835,4.2,-8.316,0.2
1.908,-0.275,-0.843,-3.643,1.101,-3.643,4.274,-0.77,-0.882,-3.833,4.198,-8.319,0.2
1.914,-0.267,-0.842,-3.646,1.092,-3.646,4.273,-0.778,-0.885,-3.819,4.208,-8.312,0.2
1.909,-0.26,-0.848,-3.646,1.092,-3.646,4.275,-0.754,-0.888,-3.83,4.209,-8.318,0.2
1.908,-0.26,-0.848,-3.648,1.094,-3.648,4.262,-0.832,-0.871,-3.83,4.204,-8.321,0.2
1.904,-0.254,-0.849,-3.653,1.079,-3.653,4.274,-0.781,-0.882,-3.825,4.217,-8.318,0.2
1.902,-0.258,-0.856,-3.649,1.089,-3.649,4.275,-0.814,-0.879,-3.84,4.209,-8.322,0.2
1.907,-0.258,-0.845,-3.646,1.08,-3.646,4.275,-0.796,-0.884,-3.829,4.207,-8.328,0.2
1.904,-0.253,-0.839,-3.651,1.08,-3.651,4.265,-0.794,-0.882,-3.829,4.22,-8.318,0.2
1.907,-0.261,-0.849,-3.656,1.078,-3.656,4.273,-0.821,-0.891,-3.833,4.222,-8.315,0.2
1.905,-0.252,-0.84,-3.654,1.083,-3.654,4.268,-0.852,-0.878,-3.838,4.212,-8.309,0.2
1.903,-0.256,-0.849,-3.659,1.075,-3.659,4.28,-0.799,-0.883,-3.834,4.227,-8.316,0.2
1.91,-0.255,-0.845,-3.654,1.086,-3.654,4.266,-0.8,-0.883,-3.838,4.213,-8.311,0
1.905,-0.261,-0.848,-3.651,1.078,-3.651,4.268,-0.763,-0.88,-3.84,4.219,-8.326,18
1.908,-0.248,-0.847,-3.653,1.081,-3.653,4.275,-0.699,-0.886,-3.835,4.221,-8.319,18
1.909,-0.236,-0.853,-3.653,1.078,-3.653,4.272,-0.679,-0.878,-3.825,4.21,-8.318,18
1.9,-0.252,-0.854,-3.653,1.086,-3.653,4.263,-0.716,-0.886,-3.845,4.215,-8.334,18
1.91,-0.261,-0.849,-3.651,1.088,-3.651,4.272,-0.649,-0.878,-3.838,4.21,-8.329,18
1.909,-0.249,-0.852,-3.652,1.072,-3.652,4.269,-0.665,-0.884,-3.825,4.217,-8.321,18
1.908,-0.265,-0.852,-3.657,1.081,-3.657,4.27,-0.689,-0.885,-3.844,4.212,-8.332,17
1.908,-0.267,-0.853,-3.661,1.083,-3.661,4.271,-0.686,-0.883,-3.844,4.217,-8.316,16.4
1.902,-0.275,-0.852,-3.659,1.08,-3.659,4.259,-0.855,-0.877,-3.841,4.212,-8.319,16.4
1.909,-0.238,-0.856,-3.679,1.088,-3.679,4.257,-0.909,-0.877,-3.834,4.216,-8.319,16.4
1.895,-0.256,-0.852,-3.674,1.088,-3.674,4.275,-0.721,-0.887,-3.838,4.216,-8.326,16.4
